Time,Channel1
-0.00245,18.74502
-0.00244,18.58059
-0.00243,18.58059
-0.00242,18.25173
-0.00241,18.0873
-0.0024,17.92287
-0.00239,17.75844
-0.00238,17.42958
-0.00237,17.26515
-0.00236,17.26515
-0.00235,16.93629
-0.00234,16.77186
-0.00233,16.60743
-0.00232,16.443
-0.00231,16.27857
-0.0023,16.11414
-0.00229,15.94971
-0.00228,15.78528
-0.00227,15.62085
-0.00226,15.45642
-0.00225,15.45642
-0.00224,15.29199
-0.00223,15.12756
-0.00222,14.96313
-0.00221,14.7987
-0.0022,14.63427
-0.00219,14.46984
-0.00218,14.30541
-0.00217,14.14098
-0.00216,14.14098
-0.00215,13.97655
-0.00214,13.64769
-0.00213,13.64769
-0.00212,13.64769
-0.00211,13.48326
-0.0021,13.31883
-0.00209,13.1544
-0.00208,12.98997
-0.00207,12.82554
-0.00206,12.82554
-0.00205,12.66111
-0.00204,12.49668
-0.00203,12.49668
-0.00202,12.33225
-0.00201,12.16782
-0.002,12.00339
-0.00199,11.83896
-0.00198,11.83896
-0.00197,11.67453
-0.00196,11.5101
-0.00195,11.5101
-0.00194,11.34567
-0.00193,11.34567
-0.00192,11.18124
-0.00191,11.01681
-0.0019,10.85238
-0.00189,10.85238
-0.00188,10.68795
-0.00187,10.68795
-0.00186,10.52352
-0.00185,10.52352
-0.00184,10.19466
-0.00183,10.19466
-0.00182,10.03023
-0.00181,10.03023
-0.0018,10.03023
-0.00179,9.8658
-0.00178,9.8658
-0.00177,9.70137
-0.00176,9.53694
-0.00175,9.53694
-0.00174,9.37251
-0.00173,9.20808
-0.00172,9.20808
-0.00171,9.04365
-0.0017,8.87922
-0.00169,8.87922
-0.00168,8.87922
-0.00167,8.71479
-0.00166,8.71479
-0.00165,8.55036
-0.00164,8.55036
-0.00163,8.55036
-0.00162,8.38593
-0.00161,8.2215
-0.0016,8.2215
-0.00159,8.2215
-0.00158,8.05707
-0.00157,8.05707
-0.00156,7.89264
-0.00155,7.72821
-0.00154,7.72821
-0.00153,7.56378
-0.00152,7.72821
-0.00151,7.56378
-0.0015,7.39935
-0.00149,7.39935
-0.00148,7.39935
-0.00147,7.23492
-0.00146,7.23492
-0.00145,7.23492
